2;	0.25
3;	0.18
4;	0.20
5;	0.27
6;	0.24
7;	0.19
8;	0.19
9;	0.18
10;	0.23
11;	0.27
12;	0.34
13;	0.61
14;	0.91
15;	1.84
16;	3.57
17;	7.22
18;	15.35
19;	30.55
20;	65.60
