2;	1.41
3;	1.78
4;	1.18
5;	1.21
6;	1.35
7;	1.22
8;	1.15
9;	1.19
10;	1.23
11;	1.26
12;	1.31
13;	1.31
14;	1.60
15;	1.81
16;	2.63
17;	3.69
18;	5.96
19;	10.41
20;	21.54
